,Index,Time Stamp
252,38192,2021-02-11 00:10:54.780
253,38193,2021-02-11 00:10:54.790
254,38194,2021-02-11 00:10:54.800
255,38195,2021-02-11 00:10:54.810
256,38196,2021-02-11 00:10:54.820
257,38197,2021-02-11 00:10:54.830
258,38198,2021-02-11 00:10:54.840
259,38199,2021-02-11 00:10:54.850
260,38200,2021-02-11 00:10:54.860
261,38201,2021-02-11 00:10:54.870
262,38202,2021-02-11 00:10:54.880
263,38203,2021-02-11 00:10:54.890
264,38204,2021-02-11 00:10:54.900
265,38205,2021-02-11 00:10:54.910
266,38206,2021-02-11 00:10:54.920
267,38207,2021-02-11 00:10:54.930
268,38208,2021-02-11 00:10:54.940
269,38209,2021-02-11 00:10:54.950
270,38210,2021-02-11 00:10:54.960
271,38211,2021-02-11 00:10:54.970
272,38212,2021-02-11 00:10:54.980
273,38213,2021-02-11 00:10:54.990
274,38214,2021-02-11 00:10:55.000
275,38215,2021-02-11 00:10:55.010
276,38216,2021-02-11 00:10:55.020
277,38217,2021-02-11 00:10:55.030
278,38218,2021-02-11 00:10:55.040
279,38219,2021-02-11 00:10:55.050
280,38220,2021-02-11 00:10:55.060
281,38221,2021-02-11 00:10:55.070
282,38222,2021-02-11 00:10:55.080
283,38223,2021-02-11 00:10:55.090
284,38224,2021-02-11 00:10:55.100
285,38225,2021-02-11 00:10:55.110
286,38226,2021-02-11 00:10:55.120
287,38227,2021-02-11 00:10:55.130
288,38228,2021-02-11 00:10:55.140
289,38229,2021-02-11 00:10:55.150
290,38230,2021-02-11 00:10:55.160
291,38231,2021-02-11 00:10:55.170
292,38232,2021-02-11 00:10:55.180
293,38233,2021-02-11 00:10:55.190
294,38234,2021-02-11 00:10:55.200
295,38235,2021-02-11 00:10:55.210
296,38236,2021-02-11 00:10:55.220
297,38237,2021-02-11 00:10:55.230
298,38238,2021-02-11 00:10:55.240
299,38239,2021-02-11 00:10:55.250
300,83480,2021-02-11 00:18:27.660
301,83481,2021-02-11 00:18:27.670
302,83482,2021-02-11 00:18:27.680
303,83483,2021-02-11 00:18:27.690
304,83484,2021-02-11 00:18:27.700
305,83485,2021-02-11 00:18:27.710
306,83486,2021-02-11 00:18:27.720
307,83487,2021-02-11 00:18:27.730
308,83488,2021-02-11 00:18:27.740
309,83489,2021-02-11 00:18:27.750
310,83490,2021-02-11 00:18:27.760
311,83491,2021-02-11 00:18:27.770
312,83492,2021-02-11 00:18:27.780
313,83493,2021-02-11 00:18:27.790
314,83494,2021-02-11 00:18:27.800
315,83495,2021-02-11 00:18:27.810
316,83496,2021-02-11 00:18:27.820
317,83497,2021-02-11 00:18:27.830
318,83498,2021-02-11 00:18:27.840
319,83499,2021-02-11 00:18:27.850
320,83640,2021-02-11 00:18:29.260
321,83641,2021-02-11 00:18:29.270
322,83642,2021-02-11 00:18:29.280
323,83643,2021-02-11 00:18:29.290
324,83644,2021-02-11 00:18:29.300
325,83645,2021-02-11 00:18:29.310
326,83646,2021-02-11 00:18:29.320
327,83647,2021-02-11 00:18:29.330
328,83648,2021-02-11 00:18:29.340
329,83649,2021-02-11 00:18:29.350
330,83650,2021-02-11 00:18:29.360
331,83651,2021-02-11 00:18:29.370
332,83652,2021-02-11 00:18:29.380
333,83653,2021-02-11 00:18:29.390
334,83654,2021-02-11 00:18:29.400
335,83655,2021-02-11 00:18:29.410
336,83656,2021-02-11 00:18:29.420
337,83657,2021-02-11 00:18:29.430
338,83658,2021-02-11 00:18:29.440
339,83659,2021-02-11 00:18:29.450
340,84340,2021-02-11 00:18:36.260
341,84341,2021-02-11 00:18:36.270
342,84342,2021-02-11 00:18:36.280
343,84343,2021-02-11 00:18:36.290
344,84344,2021-02-11 00:18:36.300
345,84345,2021-02-11 00:18:36.310
346,84346,2021-02-11 00:18:36.320
347,84347,2021-02-11 00:18:36.330
348,84348,2021-02-11 00:18:36.340
349,84349,2021-02-11 00:18:36.350
350,84350,2021-02-11 00:18:36.360
351,84351,2021-02-11 00:18:36.370
352,84352,2021-02-11 00:18:36.380
353,84353,2021-02-11 00:18:36.390
354,84354,2021-02-11 00:18:36.400
355,84355,2021-02-11 00:18:36.410
356,84356,2021-02-11 00:18:36.420
357,84357,2021-02-11 00:18:36.430
358,84358,2021-02-11 00:18:36.440
359,84359,2021-02-11 00:18:36.450
360,84400,2021-02-11 00:18:36.860
361,84401,2021-02-11 00:18:36.870
362,84402,2021-02-11 00:18:36.880
363,84403,2021-02-11 00:18:36.890
364,84404,2021-02-11 00:18:36.900
365,84405,2021-02-11 00:18:36.910
366,84406,2021-02-11 00:18:36.920
367,84407,2021-02-11 00:18:36.930
368,84408,2021-02-11 00:18:36.940
369,84409,2021-02-11 00:18:36.950
370,84410,2021-02-11 00:18:36.960
371,84411,2021-02-11 00:18:36.970
372,84412,2021-02-11 00:18:36.980
373,84413,2021-02-11 00:18:36.990
374,84414,2021-02-11 00:18:37.000
375,84415,2021-02-11 00:18:37.010
376,84416,2021-02-11 00:18:37.020
377,84417,2021-02-11 00:18:37.030
378,84418,2021-02-11 00:18:37.040
379,84419,2021-02-11 00:18:37.050
380,84420,2021-02-11 00:18:37.060
381,84421,2021-02-11 00:18:37.070
382,84422,2021-02-11 00:18:37.080
383,84423,2021-02-11 00:18:37.090
384,84424,2021-02-11 00:18:37.100
385,84425,2021-02-11 00:18:37.110
386,84426,2021-02-11 00:18:37.120
387,84427,2021-02-11 00:18:37.130
388,84428,2021-02-11 00:18:37.140
389,84429,2021-02-11 00:18:37.150
390,84430,2021-02-11 00:18:37.160
391,84431,2021-02-11 00:18:37.170
392,84432,2021-02-11 00:18:37.180
393,84433,2021-02-11 00:18:37.190
394,84434,2021-02-11 00:18:37.200
395,84435,2021-02-11 00:18:37.210
396,84436,2021-02-11 00:18:37.220
397,84437,2021-02-11 00:18:37.230
398,84438,2021-02-11 00:18:37.240
399,84439,2021-02-11 00:18:37.250
400,84440,2021-02-11 00:18:37.260
401,84441,2021-02-11 00:18:37.270
402,84442,2021-02-11 00:18:37.280
403,84443,2021-02-11 00:18:37.290
404,84444,2021-02-11 00:18:37.300
405,84445,2021-02-11 00:18:37.310
406,84446,2021-02-11 00:18:37.320
407,84447,2021-02-11 00:18:37.330
408,84448,2021-02-11 00:18:37.340
409,84449,2021-02-11 00:18:37.350
410,84450,2021-02-11 00:18:37.360
411,84451,2021-02-11 00:18:37.370
412,84452,2021-02-11 00:18:37.380
413,84453,2021-02-11 00:18:37.390
414,84454,2021-02-11 00:18:37.400
415,84455,2021-02-11 00:18:37.410
416,84456,2021-02-11 00:18:37.420
417,84457,2021-02-11 00:18:37.430
418,84458,2021-02-11 00:18:37.440
419,84459,2021-02-11 00:18:37.450
420,84480,2021-02-11 00:18:37.660
421,84481,2021-02-11 00:18:37.670
422,84482,2021-02-11 00:18:37.680
423,84483,2021-02-11 00:18:37.690
424,84484,2021-02-11 00:18:37.700
425,84485,2021-02-11 00:18:37.710
426,84486,2021-02-11 00:18:37.720
427,84487,2021-02-11 00:18:37.730
428,84488,2021-02-11 00:18:37.740
429,84489,2021-02-11 00:18:37.750
430,84490,2021-02-11 00:18:37.760
431,84491,2021-02-11 00:18:37.770
432,84492,2021-02-11 00:18:37.780
433,84493,2021-02-11 00:18:37.790
434,84494,2021-02-11 00:18:37.800
435,84495,2021-02-11 00:18:37.810
436,84496,2021-02-11 00:18:37.820
437,84497,2021-02-11 00:18:37.830
438,84498,2021-02-11 00:18:37.840
439,84499,2021-02-11 00:18:37.850
